0;1;
0;1;
0;0;
0;0;
0;0;
0;2;
0;0;
fail 2 in turn: 59
0;0;
0;1;
fail 2 in turn: 60
0;0;
fail 2 in turn: 60
fail 2 in turn: 61
1;0;
0;0;
0;1;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
0;0;
fail 2 in turn: 61
fail 2 in turn: 60
0;0;
fail 2 in turn: 60
0;0;
0;0;
0;0;
1;0;
0;0;
fail 2 in turn: 63
1;0;
0;0;
0;1;
0;0;
1;0;
0;1;
1;1;
fail 2 in turn: 60
fail 2 in turn: 60
0;0;
1;0;
fail 2 in turn: 59
0;0;
0;0;
fail 2 in turn: 61
1;0;
0;0;
0;0;
0;0;
0;0;
0;0;0;
0;0;0;
0;0;1;
1;1;0;
1;1;2;
fail 3 in turn: 50
0;0;0;
0;1;0;
0;0;2;
0;0;1;
fail 3 in turn: 53
0;1;0;
0;0;1;
0;0;0;
0;1;1;
0;0;0;
1;1;2;
1;0;0;
0;0;0;
0;1;1;
1;1;0;
0;0;1;
0;0;1;
0;1;1;
0;0;0;
1;1;0;
1;1;0;
0;0;0;
0;0;0;
1;1;2;
0;0;0;
1;0;1;
fail 3 in turn: 51
0;1;0;
0;2;0;
0;0;0;
1;0;1;
1;0;1;
2;1;1;
1;0;1;
1;0;0;
1;1;1;
1;0;0;
2;0;1;
0;1;1;
0;1;0;
0;0;0;
fail 3 in turn: 52
0;0;1;
0;0;1;
0;0;0;
1;0;0;
0;1;0;
0;0;0;
0;1;0;
0;0;1;
0;1;2;
0;2;0;
0;1;0;
0;0;1;
1;0;1;1;
fail 4 in turn: 48
fail 4 in turn: 43
0;0;0;0;
0;0;0;0;
0;0;0;1;
1;0;0;0;
0;0;0;1;
0;1;0;0;
0;0;0;0;
0;0;0;0;
0;0;1;0;
1;0;0;0;
0;0;0;1;
0;1;1;0;
0;0;0;1;
0;0;0;0;
0;0;0;1;
0;1;0;1;
0;0;0;1;
0;0;0;0;
0;0;0;0;
0;2;1;1;
0;0;0;0;
0;0;0;0;
1;0;1;2;
0;0;1;1;
0;0;0;0;
1;0;0;1;
1;1;0;1;
0;0;0;1;
0;0;0;0;
0;0;0;0;
0;0;1;1;
fail 4 in turn: 44
2;1;0;2;
1;1;0;1;
1;0;0;0;
0;0;0;1;
0;0;0;1;
1;0;0;1;
fail 4 in turn: 41
0;0;0;0;
0;0;0;0;
0;0;1;0;
1;1;1;1;
0;0;0;1;
0;0;2;1;
0;0;0;1;
0;0;1;0;
1;0;1;0;
1;0;0;0;
0;0;1;0;
0;0;0;0;
0;0;0;0;
1;0;1;1;
0;1;0;1;
1;1;0;0;
0;0;0;0;
fail 4 in turn: 47
0;0;0;1;0;
0;0;0;0;0;
fail 5 in turn: 38
0;1;0;0;0;
0;0;1;0;2;
0;1;1;0;0;
0;0;0;1;0;
1;0;1;2;0;
0;1;0;0;2;
0;0;0;0;0;
fail 5 in turn: 36
1;1;1;0;1;
1;2;0;0;0;
0;0;0;0;0;
fail 5 in turn: 38
0;0;1;0;0;
fail 5 in turn: 37
fail 5 in turn: 41
fail 5 in turn: 39
fail 5 in turn: 33
fail 5 in turn: 39
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 40
1;0;1;1;0;
fail 5 in turn: 39
fail 5 in turn: 41
fail 5 in turn: 39
1;0;0;0;0;
0;0;1;0;1;
0;0;0;0;0;
fail 5 in turn: 39
0;0;1;0;1;
fail 5 in turn: 43
0;0;0;0;0;
fail 5 in turn: 42
0;0;0;0;0;
0;0;1;0;1;
0;0;0;0;1;
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 38
1;0;1;0;1;
1;0;0;0;1;
0;0;0;1;1;
fail 5 in turn: 40
0;0;0;0;1;
0;0;1;1;0;
0;0;1;0;0;
0;0;1;0;0;
0;1;0;1;1;
fail 5 in turn: 38
fail 5 in turn: 37
fail 5 in turn: 40
fail 5 in turn: 36
0;0;0;0;0;
0;0;0;0;0;
fail 5 in turn: 44
0;0;0;0;0;
0;0;1;0;1;
