ab709bec-b2eb-4abc-9623-ffb9697dbfe4;86;114;
140d0d86-c654-478c-b2fc-2f8bb911f666;104;103;
08067d51-4adb-4852-bc5e-e4765710b38e;114;117;
ca2e254a-155f-4eb9-85ac-b757437f6c0c;88;101;
7f54892d-2c00-4551-bef8-92b48abc705a;118;144;
582b63a6-c0b1-41ad-b552-c1e3a871666a;72;78;
d5cc21e5-c3c2-4a55-a87d-1bb86d211a1c;121;114;
fail 2 in turn: 59
84539de2-5ee8-4813-8370-7dc0db2d7e01;118;114;
2fb57d6c-3b0e-4239-9111-640d99165e8c;65;78;
fail 2 in turn: 60
ff9d96df-584d-47fd-bd6e-266a96875c40;97;106;
fail 2 in turn: 60
fail 2 in turn: 61
20fa9029-9b05-422b-8dcc-c42da2dfc6c3;77;115;
46bfbfc9-cbb1-4b77-9aa3-413de7bb4a06;87;130;
83f24df4-2e8d-4cb9-841c-1c6224f547ee;68;99;
961f849a-d6c6-410f-9629-0cd31c5ba21d;120;114;
675fe777-ee56-4ccd-93cb-112a4dc5c771;98;107;
cc65ebd7-9f7d-4648-94e8-bb73e64b1734;89;126;
62e8ec24-0f3f-41f6-bdeb-e8a3a96da1aa;99;129;
f44ea119-aa0e-41fd-86ed-2071ec559fd5;98;103;
943b44c3-87bb-42ab-a441-c67351f06e8b;101;105;
efb7ce78-9f4d-426a-be8f-7137e08b1acd;95;106;
90124db9-a21e-4602-895b-e39d6497b35b;96;118;
2f9ed6f6-e34d-4e31-ba8e-f91c6cf729d7;105;106;
327c6078-f3a5-4f90-b289-29c4a54d7d8e;97;110;
77cd9502-aaae-4fa5-aa88-6dd1d97ee794;127;101;
f2d6c36f-5309-4b52-950e-f44345d89f27;82;107;
f7d6d0ab-20fb-4f9c-9a75-857d6194d7c5;97;101;
fail 2 in turn: 61
fail 2 in turn: 60
739c0e45-d4c8-4a8d-88c1-9babd7ff79fe;105;109;
fail 2 in turn: 60
5fc9d1d3-8a67-4684-8207-ee03a73c1ab9;81;99;
d7819606-5f78-4bd9-989c-d4a27ebdd8a0;101;104;
454fb7e8-f403-4d86-a9da-97966a05230d;97;106;
b55c01db-8286-47c3-8803-6e7a15341253;87;117;
7d15e22a-ad36-4fcc-bc61-14aeff21411b;97;107;
fail 2 in turn: 63
7b5ef089-acf3-475e-b5a9-feb2df0a15fb;97;116;
50f0861b-3606-409f-a723-556c52840ea5;99;129;
b7ec42d4-079d-419a-bd14-b706ecfb74b6;89;89;
2bf14210-8baa-4de8-afcf-9eb32e29d3c8;101;105;
ac191b1a-c114-45ab-8464-5e2b5da02eb0;59;105;
5fca3905-ff53-412b-bf8a-c2e965df61df;88;109;
ca905359-dcba-4781-aafd-d3de6c3a5fb9;80;67;
fail 2 in turn: 60
fail 2 in turn: 60
19dddf4d-b77c-479e-ad11-6401cf88bafc;102;106;
1a569c61-a1bd-42b0-a8c4-7b0c22591a68;73;104;
fail 2 in turn: 59
995966f1-9592-4153-a0b7-cddfb0736f85;98;110;
e2ebf08d-6098-4288-843e-ee53a2d049a5;105;126;
fail 2 in turn: 61
f293c3f0-c34a-479c-bfa3-7834ddd725c7;50;112;
42f7404b-9416-429f-b62d-be83d2b96af1;102;106;
d14aab18-d446-4b37-a667-5865d5e601b3;110;100;
a4e6fcac-7e33-4066-9c14-232621a963ea;108;107;
0160cafc-4696-4e14-a30b-da013b63b67d;94;109;
b32d1db5-2382-4156-852d-2476fcf07ecb;92;104;111;
99807ba5-b62c-4af0-872a-28f61d1608c1;104;100;122;
a7c74314-3e67-45d5-9def-10ae217e7a25;100;93;92;
fe0dfd26-997c-472a-a9ac-7f35642d8841;72;102;104;
877cc72b-0a79-4724-88cf-0c62ead3301c;75;55;80;
fail 3 in turn: 50
4bcffa12-d7a1-48d4-a146-0ed35963e7f9;87;109;110;
105d9337-8e88-443b-8051-9f11593194a8;67;75;122;
068947b8-6d0d-446b-9f91-e6c4935c70a4;65;94;80;
5aa86d75-b353-4093-9bf6-4d8c3a14796a;102;99;66;
fail 3 in turn: 53
dc8ca679-298d-418d-97dd-d1f09a06243b;111;72;132;
11256e11-f578-46bf-b08e-77a061292dde;76;78;84;
dc9417e6-e509-47b5-aa98-459360a87e1e;118;94;100;
413e1acd-4508-4950-bf90-33e5bb084a02;94;85;73;
a2a89630-3c36-455c-948c-691802aad2bb;113;131;115;
b35266d7-1513-4280-b91c-5312cf1facf5;83;75;89;
c38aea7b-f6f3-462e-901e-399c33534701;88;142;116;
cfb163f5-60f3-45af-b6c8-6cfbf9fc7ca1;129;121;111;
ce861721-a2ef-4aec-b643-f718efea347d;107;66;67;
ed56bad6-d95e-4b7c-8569-4524bcd4ef02;87;82;99;
161e0ee4-66f0-46fe-a7b1-0d498ceb6b78;99;86;80;
df17cbe2-bd70-40ab-8753-66c7a2aa897c;107;139;81;
16023a99-aba8-47e4-8d1f-e0f765c0523c;98;89;89;
d5c66813-7580-4b5b-b7cb-b500d595a647;116;106;106;
411edcd5-0951-47fe-b66b-5165b01e74ce;62;63;118;
21fd79d4-faa7-4680-a4f2-9dfaf6650468;71;72;106;
da7c2564-c279-470a-83ca-3fd0f0b37d00;97;97;102;
4cdd7a88-6ad8-437e-b3b0-a09432c8489e;115;87;104;
e9a55c7f-a401-47e7-9e94-bb1a35a744a4;73;78;67;
e51d4daf-d926-4747-abbc-9b712df55bc8;123;81;108;
0a1c4eb2-7981-4849-86c9-2170fe168f68;91;96;80;
fail 3 in turn: 51
9c36cf30-91b6-4b5e-bdc8-e5531d32fe32;65;72;120;
2b9ab2d2-621d-447a-8fe6-a3b8a84e3009;137;76;102;
994b4d1e-f832-44be-86cb-9d235c085c88;71;97;101;
165a748b-a4de-4cfa-97ac-c7402dd5368e;90;102;111;
2d3ce14d-3dbe-4458-84b4-ddcc9942f858;83;100;106;
1fef1f50-598b-4b4a-9477-2026addc6def;14;77;91;
61e199e3-01cf-490b-9afe-bfdacb63d843;65;83;87;
55a143df-017a-406c-962b-deb927dfdf45;96;108;122;
48cdc3bb-ec72-421b-97c0-75ffa9b76ff1;80;57;72;
978fe433-4ade-4ed3-a6e0-122b1c7b24c3;106;119;135;
049b4edb-f96d-4d0c-a41e-4dabd94c8479;58;104;91;
c206f4dc-8aba-40d9-b761-4b0f8e3fec46;95;59;98;
051fdfed-a2b0-465e-b650-3d703a7b598d;122;93;110;
4bde7f16-9737-4555-832b-42d2bf4a5989;101;108;108;
fail 3 in turn: 52
dca2c0a6-ddb5-4d1d-b921-3b9c43bfe73e;100;106;113;
454fb6cd-6889-467d-acf0-a9804139b570;117;107;73;
17302ed4-733c-4153-8135-7a5b9a43d92e;100;109;111;
2bfd1e67-f6bc-495b-bfbf-408033d34497;62;96;113;
